"tid","fcid","title","city","featured_image","intro","subtitle","term_description"
"693","26|613|614","Aiken","Aiken","4483","As the center of South Carolina's ""Thoroughbred Country,"" Aiken is known for pristine horse farms and first-class equestrian sports.","New Homes in","<p>Founded in 1835, the city of Aiken was named after William Aiken, the president of the South Carolina Railroad. The City of Aiken is located near the mid-point of South Carolina's long border with Georgia, about 15 miles east of Augusta. US 1 and US 78 pass through the heart of the city, and Interstate 20 skirts its northern border.</p>
<p>Among the many things that have helped to shape Aiken, three of the main events are the railroad, the Winter Colony influence and the largest industrial impact for the area, the Savannah River Site.</p>
"
"934","619|620","Augusta","Augusta","2814","Nestled along the banks of the mighty Savannah River, Georgia's second largest city offers its visitors and nearly half-a-million residents traditional Southern charm plus the perks of big city life—arts, culture, shopping, education opportunities, fine cuisine, state-of-the-art healthcare, sports, and a slew of recreational pursuits. Here you can literally soak up the best of all worlds. With a wide variety of amenities within just a short drive, you will find the area pleasantly devoid of the traffic snarls plaguing so many metropolitan areas. Augusta’s southern hospitality is evident from the temperate climate to the year-round greenery that reminds residents and visitors alike of Augusta’s designation as the ""Garden City""","New Homes in","<p>Nestled along the banks of the mighty Savannah River, Georgia's second largest city offers its visitors and nearly half-a-million residents traditional Southern charm plus the perks of big city life—arts, culture, shopping, education opportunities, fine cuisine, state-of-the-art healthcare, sports, and a slew of recreational pursuits. Here you can literally soak up the best of all worlds. With a wide variety of amenities within just a short drive, you will find the area pleasantly devoid of the traffic snarls plaguing so many metropolitan areas. Augusta’s southern hospitality is evident from the temperate climate to the year-round greenery that reminds residents and visitors alike of Augusta’s designation as the ""Garden City""</p>
"
"1108","621|622","Boiling Springs","Spartanburg","4492","","New Homes in","<p>Located north of the City of Spartanburg, the Boiling Springs area is known for good schools, a short commute and picturesque views of the mountains. The area is named for a small spring on the corner of McMillian Boulevard and Highway 9 that is a bubbling, boiling spring surrounded by a small park.</p>
"
"575","623|624","Camden","Camden/Lugoff/Elgin","4486","Camden offers the benefits of small town living without sacrificing the benefits of the capital city.","New Homes in","<p>About 20 minutes northeast of downtown Columbia is the city of Camden. With a storied history dating back to 1732, the city of Camden is South Carolina’s oldest inland city.  The city is bordered by the Wateree River, giving the area a lush biodiversity in both plants and wildlife.</p>
<p>The area has a rich equine heritage and hosts the Carolina Cup, a large steeplechase event bring over 50,000 visitors to Camden each spring and is home to the National Steeplechase Museum.</p>
<p>The city offers gorgeous architecture, historic landmarks, and friendly people. Its residents often say they have chosen to live here to enjoy the conveniences of a small town life with culture and style. Camden is a lovely and lively southern town with modern amenities and old world charm.</p>
<p>While Camden has strong roots in the past with its many historic sites and antebellum mansions, it is also looking forward to an amazing future. Building facades in Camden are being restored to reveal the natural beauty of the historic architecture, and they are enhancing the community feel of the town with new green space and a more pedestrian-friendly downtown area. Above all, it will continue to foster a happy, healthy, thriving community here in Camden.</p>
<p>Housing opportunities range from first time homeowner product to custom home product on large home sites. There is a wide array of choices even for the most discriminating homeowner.</p>
"
"1109","625|626","Chapin","Columbia","4493","","New Homes in","<p>Located northwest of the City of Columbia, Chapin has grown into an attractive small town with a main street, preferred quality schools, and a location close to the 50,000-acre, deep-water Lake Murray, one of the Midland’s central attractions. New Home residents love Chapin because it is a town full of friendly people, it is close to many Midlands job centers and a close commute to the City, yet is a distinctly different, quiet place away from the hustle-bustle of the downtown area.</p>
"
"1032","627|628","Clemson","Clemson","4482","","New Homes in","<p><span style=""font-size: 14px;"">The small, quaint college town of Clemson, SC is one of the great places to live in South Carolina. Nestled in the foothills of the Western Upstate, Clemson offers the beautiful, pedestrian-friendly university campus with botanical gardens, historical buildings, world-class athletic facilities and exceptional libraries and entertainment venues. People that live in Clemson and the surrounding areas love sports, entertaining on the picturesque lakes of the area, taking hikes in the nearby foothills and mountains, golfing, fishing, mountain biking, dining, or simply soaking in the beautiful sunsets. The Upstate has it all!</span></p>
"
"43","1|2|3","Columbia Downtown / Southeast","Columbia","2816","Columbia's oldest neighborhoods in the heart of the city feature beautifully restored architectural buildings. 


","New Homes in","<p>The land selected as the site for the capital city of South Carolina in the late 1700's was situated on a bluff overlooking the confluence of the Broad and Saluda Rivers. The city was laid out in an orderly fashion, with broad, divided streets radiating from the grounds where South Carolina's state house is now built. Today, Columbia's oldest neighborhoods are found here, with many homes being lovingly restored by people who appreciate older architecture and the undeniable charm of shady streets, wrap-around porches and children playing on sidewalks. East of town taking SC 12 (Taylor Street. which turns into Forest Drive) is the City of Forest Acres, one of the first suburban communities established outside of Columbia's city limits. Forest Acres is a popular residential choice for people who work downtown and are on a lookout for new homes. Its varied shops and convenience to the city's center are complemented by its peaceful neighborhood setting. To the East of Forest Acres is Ft. Jackson, covering five square miles, it has a population of 10,580. It is the largest and most active Initial Entry Training Center in the United States Army, providing training to about 50% of the men and women who enter the service each year. Fort Jackson has added several new schools and training institutions including the Soldier Support institute, the Chaplains Center and School, and Department of Defense Polygraph Institute. The Fort and the city of Columbia enjoy a friendly relationship. Surrounding Fort Jackson is a vast array of housing opportunities with product that meets the needs of all most any new home buyer.</p>
"
"1110","634|635","Dutch Fork","Columbia","4494","","New Homes in","<p>The Dutch Fork is an area of South Carolina located in Lexington and Richland Counties between the Saluda and Broad Rivers where they fork together, forming the Congaree River. The area is named after the original German settlers of the area. The excellent schools of Dutch Fork High School, Middle School, and Elementary School are three of the nineteen schools of award-winning Lexington & Richland County School District Five which covers much of the Lexington and Richland County portion of the Dutch Fork. It is a great place to find your dream new home.</p>
"
"1140","723|724","Easley","Greenville","","","New Homes in","<p>Located on the western side of Greenville, Easley is a popular small suburban city in the foothills of the Blue Ridge mountains that is located close to Interstate I-85. Easley is an easy commute to the many job centers of the Upstate due to its excellent network of roads and Interstate I-85. It also offers excellent schools and a great small town atmosphere for raising families, making it one of the fastest new home markets in SC.</p>
"
"1111","636|637","Effingham","Florence","4495","","New Homes in","<p>Effingham is a residential area in Florence County. Located at the intersection of US 52, US 301 and SC 327, it a picturesque farming area along the northern banks of the Lynches River that is rapidly converting to communities with good schools, churches, convenience shopping and a favorable commute to PeeDee job centers.</p>
"
"697","28|638|639","Florence","Florence","4484","With a low cost of living and many new job opportunities, Florence is truly a great place to live.","New Homes in","<h3>We invite you to enjoy our mild winters and proximity to the beach!</h3>
<p align=""justify"">Located at the intersection of I-95 and I-20, Florence is an attractive place to live for many reasons. This mid-sized southern city is large enough to boost a performing arts center, museums, festivals, a world-class recreation complex, and award winning hospital systems. Still, the city is small enough to preserve the small-town feeling with a number of tree-lined streets, parks and affordable new homes, all which add to the pleasant lifestyle the citizens enjoy.</p>
<p align=""justify""> </p>
<p align=""justify"">Florence is a major hub, both for industry and infrastructure, while establishing itself as a regional center for business, medicine, culture, and finance. Florence is home to two award winning hospital systems, McLeord Regional Medical Center and Carolinas Hospital System. Both hospital systems have achieved numerous accreditations and accolades.</p>
<p align=""justify""> </p>
<p align=""justify"">Downtown Florence is currently undergoing a massive revitalization. With the opening of the FLorence County museum and the Francis Marion Performing Arts Center, downtown Florence has exploded. Several new restaurants and businesses have opened and many new home buyers continue to flock to the downtown district.</p>
"
"1112","642|643","Fountain Inn","Greenville","4496","","New Homes in","<p>Fountain Inn is a small South Carolina city on the southern-edge of Greenville County and the northern tip of Laurens County. The city's nickname is ""The Diamond Tip of the Golden Strip"" as the Golden Strip is the collective nickname for the growing small cities of Simpsonville, Mauldin and Fountain Inn that are the southern suburbs of Greenville County. Fountain Inn took its name from a historic inn and fountain that were along the early 19th century stage coach routes. The city is a popular choice among people choosing a place to live because if offers good schools and excellent location for commutes to work.</p>
"
"1113","681|682","Gilbert","Columbia","4497","","New Homes in","<p>Gilbert is a picturesque southern town in Lexington County, South Carolina. The town is famous for being the location of the annual Lexington County Peach Festival which draws visitors from across the region. <a href=""http://www.lexingtoncountypeachfestival.com/"">http://www.lexingtoncountypeachfestival.com/</a>. Gilbert offers the highly-regarded schools of Gilbert Primary and Elementary schools, Gilbert Middle School, and Gilbert High School. All schools here are a part of Lexington School District 1.Residential development has grown substantially in this area over the years. Great Southern Homes has many new home communities, especially for the first time home buyers.</p>
"
"915","828|829|830","Greenville","Greenville","2673","Nestled into the foothills of the Blue Ridge Mountains, Greenville has combined traditional southern charm, stunning natural beauty and an unexpected contemporary cool to create one of America's hottest emerging destinations and fastest growing cities. From a revitalized downtown ranked among ""America's Ten Best"" by Forbes Magazine to downtown Greenville's one-of-a-kind Liberty Bridge, quaint shops, boutiques, and fabulous restaurants to a world-class collection of museums, galleries, and theaters to some of the most beautiful lakes, rivers and mountains in the world, Greenville is everything they say it is and more!","New Homes in","<p>Nestled into the foothills of the Blue Ridge Mountains, Greenville has combined traditional southern charm, stunning natural beauty and an unexpected contemporary cool to create one of America's hottest emerging destinations and fastest growing cities. From a revitalized downtown ranked among ""America's Ten Best"" by Forbes Magazine to downtown Greenville's one-of-a-kind Liberty Bridge, quaint shops, boutiques, and fabulous restaurants to a world-class collection of museums, galleries, and theaters to some of the most beautiful lakes, rivers and mountains in the world, Greenville is everything they say it is and more, making it the perfect place to settle down into your new home.</p>
"
"1114","644|645","Grovetown","Augusta","4498","","New Homes in","<p>Grovetown is a growing, vibrant small city located in southern Columbia County, GA, part of the Augusta metropolitan area and the Central Savannah River Area. The city offers a great location - downtown Augusta is located 15 miles east, Fort Gordon is 2 miles to the south, and Interstate 20 is 2 miles to the north. With the opening of Camp Gordon in 1942, Grovetown experienced rapid growth as many military families looked to Grovetown for housing. Gradually more and more retired military saw the benefits of living in the small town and the population began to grow. Today, shopping, dining, excellent schools, and churches add to the town's culture. Parks, recreation centers, two fire stations, water and sewer services, a senior center, and museum may it a popular choice to in which to live.</p>
"
