"id","revision_id","label","description"
"25","25","    
        
        Easy access to highway -  -    
        
    ","    
        
            
        I-20 (Augusta and Columbia)    
    "
"615","627","    
        
        Horses! -    
        
    ","    
        
            
        Equestrian sports are a big part of Aiken’s appeal with polo matches and steeplechase races often on the calendar of events. Many prize-winning thoroughbreds train here and are kept in expensive stables that are built to the highest standards.      
    "
"616","628","    
        
        Wonderful Way of Life -    
        
    ","    
        
            
        Aiken is known for its grand homes, beautiful gardens and quaint city center with parks and restaurants. A place you’ll want to live in.     
    "
"617","629","    
        
        Golf! -    
        
    ","    
        
            
        Everyone know that Augusta is home to the worlds’ most famous golf tournament, The Masters and the #1 rated gold course in the world, Augusta National, but it also home to many other great championship golf courses and a golfer’s paradise to live within.      
    "
"618","630","    
        
        Fort Gordon -    
        
    ","    
        
            
        is a United States Army installation and the current home of the United States Army Signal Corps and Cyber Center of Excellence. The fort is located to the southwest of the city and employs approximately 30,000 military and civilian employees and has an estimated $1.1 billion economic impact on the Augusta-Richmond County economy.    
    "
"15","15","    
        
        Easy access to Highways  -    
        
    ","    
        
            
        I-20 (Florence, Augusta, GA)    
    "
"16","16","    
        
        Rich History -    
        
    ","    
        
            
        History is alive in Camden, from the tree-lined streets that frame gorgeous antebellum homes to the outdoor Revolutionary War park complete with period reconstructions of colonial buildings.    
    "
"629","641","    
        
        Great Small Town Life -    
        
    ","    
        
            
        Camden and Lugoff/Elgin in Kershaw County are part of the Midlands region of South Carolina which surrounds Columbia. The Camden area offers affordable living and great conveniences such as shopping, restaurants and a historic, pedestrian-friendly downtown area.     
    "
"661","673","    
        
        Stunning Beaches -    
        
    ","    
        
            
        Charleston’s got the harbor, but just minutes away, the charming village of Sullivan’s Island has the ocean and pristine sand. To the south, there’s the eclectic charm of Folly Beach.    
    "
"662","674","    
        
        Fore! -    
        
    ","    
        
            
        There are over twenty golf courses in the Charleston region and Kiawah Island is one of the country’s top golf resorts, featuring five championship courses in privileged oceanfront locations.    
    "
"663","675","    
        
        Memorable Walks -    
        
    ","    
        
            
        One of the best things is how long you can be there without ever needing your car. The City is compact, safe and walkable. It epitomizes “pedestrian-friendly”. In the low country region, there are numerous walking paths through natural wonderlands with scenic vistas. And, of course, there are always strolls on the beach.     
    "
"630","642","    
        
        A Great College Town -    
        
    ","    
        
            
        The small college town of Clemson, SC is cherished by many as the home of the mighty tigers football team and a great gathering place for college football, but it also serves as a great cultural and economic hub for year-round living. Many families are choosing to relocate to the Clemson area to enjoy the beautiful lakes, attend the good schools and enjoy the diverse dining and cultural activities.     
    "
"631","643","    
        
        A Beautiful, Walkable Campus -    
        
    ","    
        
            
        Clemson is a one of the nation’s finest walkable campuses, nestled in the foothills of the Blue Ridge Mountain, it offers beautiful gardens, walking paths and scenic views of the surrounding areas.     
    "
"4","4","    
        
        Top 10 Places to live in 2013 -    
        
    ","    
        
            
        Columbia, the capital of SC, was ranked #5 on Kiplingers top 10 best mid-size cities to live!    
    "
"5","5","    
        
        Ft Jackson, University of South Carolina and more! -    
        
    ","    
        
            
        Ft Jackson is home to the largest training base in the country and Columbia boasts 6 colleges.    
    "
"7","7","    
        
        Enjoy our zoo, parks and recreation areas -    
        
    ","    
        
            
        Riverbanks Zoo, Congaree National Park, EdVenture Children's Museum, Columbia Musem of Art    
    "
"27","27","    
        
        Easy access to highways -    
        
    ","    
        
            
        Located at intersection of I-95 and I-20    
    "
"640","652","    
        
        An Hour to the Beach -    
        
    ","    
        
            
        Florence attracts families who love great schools and a great place to live. The area is only a little over an hour to the grand SC beaches, yet housing is more affordable here than beach living.      
    "
"641","653","    
        
        The Pee Dee Region -    
        
    ","    
        
            
        Florence is located within a region of South Carolina called the ""Pee Dee"" region which is an eight county region surrounding the Great Pee Dee River. The river flows from the Appalachian Mountains of North Carolina to the Atlantic Ocean at Georgetown South Carolina.    
    "
"805","822","    
        
        Vibrant Downtowns -    
        
    ","    
        
            
        Downtown Greenville has become a favorite destination for diners and shoppers who want to experience a unique variety of dining experiences unmatched in the state.    
    "
"806","823","    
        
        Outdoor Activities -    
        
    ","    
        
            
        Are plentiful, particularly in the Blue Ridge Mountains to the north and lakes to the west. New homes in Greenville are close to hiking, rafting, recreational sports and events at Clemson University.    
    "
"807","824","    
        
        Economic Powerhouse -    
        
    ","    
        
            
        New homes for sale in Greenville, SC are near high-paying jobs from top-performing companies. The area enjoys a strong economic base and new infrastructure – all while maintaining a relatively low cost of living.    
    "
"670","682","    
        
        Brookgreen Gardens -    
        
    ","    
        
            
        is a special place and one of South Carolina’s most beloved gardens. In a stunning setting, Brookgreen Gardens is a sculpture garden and wildlife preserve, located just north of Litchfield, SC. The 9,100-acre property presents themed gardens with American figurative sculptures placed in them. It also offers a Lowcountry Zoo and trails through several ecosystems in nature reserves on the property. Brookgreen Gardens was opened in 1932, and is built on four former rice plantations.    
    "
"675","687","    
        
        The Seafood Capital of South Carolina -    
        
    ","    
        
            
        Murrells Inlet is home to dozens of the best seafood restaurants in country but is also home to some of the nation's finest golf courses. For generations, tourists have flocked to the Murrells Inlet Marshwalk - a 1/2 mile long boardwalk that overlooks the beautiful salt marsh and offers direct access to many of the best restaurants in town.     
    "
"676","688","    
        
        Huntington State Park -    
        
    ","    
        
            
        A state park and coastal preserve located in Murrells Inlet.  Enjoy large white sandy beaches with few beach-goers and explore the nature center, which features history displays and live animals, Atalaya Castle and numerous wild bird watching areas.    
    "
"672","684","    
        
        Sparkling Crystal Beaches -    
        
    ","    
        
            
        We've got 60 miles of them. And they're gorgeous! Sparkling waters, white sands, endless possibilities.     
    "
"673","685","    
        
        365 Days of Golf -    
        
    ","    
        
            
        With over 100 championship courses, many designed by some of the legends of the game, Myrtle Beach is a golfer's paradise. We're often called the golf capital of the world, and it's easy to see why.     
    "
"674","686","    
        
        Our People -    
        
    ","    
        
            
        From belles to bikers, our city is never short of fun, interesting people who are bursting with Southern charm and hospitality. Bring the family, and make some new friends that will last you a lifetime.    
    "
"677","689","    
        
        Why Pawleys? -    
        
    ","    
        
            
        What a great place to live on the Grand Strand.  Known throughout the nation for its gorgeous beaches and oceanfront mansions, residents can now discover what “arrogantly shabby” means.  Enjoy strolls on the wide beaches or riding golf carts about for rest and relaxation. Eat in some local restaurants and enjoy the finest cuisine.     
    "
"678","690","    
        
        What’s Up? -    
        
    ","    
        
            
        Located between Myrtle Beach and Charleston with good schools, friendly people, great restaurants, casual atmosphere, nice shopping, good place for tennis and golf, gorgeous old Live Oaks, scenic creeks, great fishing, great parks, good healthcare, mild winters, many opportunities to start a business, low taxes.    
    "
