"tid","fcid","title","region","featured_image","intro","sub_title","term_description","latitude","longitude"
"692","25|615|616","Aiken","Augusta / Aiken","3866","As the center of South Carolina's ""Thoroughbred Country,"" Aiken is known for pristine horse farms and first-class equestrian sports.","New Homes In","<p>Founded in 1835, the city of Aiken was named after William Aiken, the president of the South Carolina Railroad. The City of Aiken is located near the mid-point of South Carolina's long border with Georgia, about 15 miles east of Augusta. US 1 and US 78 pass through the heart of the city, and Interstate 20 skirts its northern border.</p>
<p>Among the many things that have helped to shape Aiken, three of the main events are the railroad, the Winter Colony influence, and the largest industrial impact for the area, the Savannah River Site.</p>
<p> </p>
","33.56","-81.72"
"933","617|618","Augusta","Augusta / Aiken","4485","Established in 1736  as part of the British colony of Georgia, under the supervision of colony founder James Oglethorpe. It was the colony’s second established town, after Savannah. Today, Augusta is the second-largest city in Georgia, and the largest city of the Central Savannah River Area.","New Homes in","<p>Located on the Georgia/South Carolina border, the city of Augusta, GA lies on the Savannah River, which supports its diverse economic endeavors as well as vast recreation options. The city is the center point of the Central Savannah River Area (CSRA), a 13-county region that includes both Georgia and South Carolina. It is located within close proximity to many major southern destinations including Atlanta, Columbia, and Charlotte.</p>
<p>Augusta offers southern charm plus the perks of big city life—arts, culture, shopping, education opportunities, fine cuisine, state-of-the-art healthcare, sports, and a slew of recreational pursuits. Here you can literally soak up the best of all worlds. With a wide variety of amenities within just a short drive, you will find the area pleasantly devoid of the traffic snarls plaguing so many metropolitan areas. Augusta’s southern hospitality is evident from the temperate climate to the year-round greenery that reminds residents and visitors alike of Augusta’s designation as the ""Garden City""</p>
<p> </p>
","33.47","-82.01"
"574","15|16|629","Camden/Lugoff/Elgin","Columbia / Midlands","3867","Camden/Lugoff boasts easy access to major highways and a rich history.","New Homes in","<p>About 20 minutes northeast of downtown Columbia is the city of Camden. With a storied history dating back to 1732, the city of Camden is South Carolina’s oldest inland city.  The city is bordered by the Wateree River, giving the area a lush biodiversity in both plants and wildlife.</p>
<p>The area has a rich equine heritage and hosts the Carolina Cup, a large steeplechase event bring over 50,000 visitors to Camden each spring and is home to the National Steeplechase Museum.</p>
<p>The city offers gorgeous architecture, historic landmarks, and friendly people. Its residents often say they have chosen to live here to enjoy the conveniences of a small town life with culture and style. Camden is a lovely and lively southern town with modern amenities and old world charm.</p>
<p>While Camden has strong roots in the past with its many historic sites and antebellum mansions, it is also looking forward to an amazing future. Building facades in Camden are being restored to reveal the natural beauty of the historic architecture, and they are enhancing the community feel of the town with new green space and a more pedestrian-friendly downtown area. Above all, it will continue to foster a happy, healthy, thriving community here in Camden.</p>
<p>Housing opportunities range from first time homeowner product to custom home product on large home sites. There is a wide array of choices even for the most discriminating homeowner.</p>
","34.23","-80.69"
"1120","661|662|663","Charleston","Charleston / Lowcountry","4514","","New Homes in","<p style=""font-size: 14px;"">Few places in the world outshine South Carolina’s romantic low country as a place to build or buy your home. The region is known worldwide for its lovely natural settings, amazing beaches, historic architecture, great foods, friendly people and cultural arts.</p>
<p style=""font-size: 14px;"">Charleston is the low country region’s star city and one of the South’s most appealing destinations and consistently rated as one of the best places to live. It has been hailed recently as “America’s Friendliest City” and by Travel & Leisure as the “World’s #1 Best City”. That’s tough to top!</p>
<p style=""font-size: 14px;"">But the Holy City as Charleston is known is surrounded by the marvelous low country region full of charming small towns, glorious beaches, historic sites, and the best in recreational opportunities such as world-class golf courses and maritime sports. Now, the low country region is exploding as a high-tech, manufacturing and export hub with thousands of jobs created annually. Whether retirement or a new career is your calling, Charleston and the low country region has the best to offer.</p>
","32.78","-79.94"
"1031","630|631","Clemson","Greenville / Upstate","4479","","New Homes in","<p>The small, quaint college town of Clemson, SC is one of the great places to live in South Carolina. Nestled in the foothills of the Western Upstate, Clemson offers the beautiful, pedestrian-friendly university campus with botanical gardens, historical buildings, world-class athletic facilities and exceptional libraries and entertainment venues. People that live in Clemson and the surrounding areas love sports, entertaining on the picturesque lakes of the area, taking hikes in the nearby foothills and mountains, golfing, fishing, mountain biking, dining, or simply soaking in the beautiful sunsets. The Upstate has it all!</p>
","34.68","-82.84"
"10","4|5|7","Columbia","Columbia / Midlands","2669","Columbia offers all the amenities of city life, but with a lower cost of living than many urban areas. ","New Homes in","<p>Living in Columbia, South Carolina is to experience a city convenient to mountains and beaches, where weather is always a pleasure and something is always in bloom. This is a city and a region that's just now being discovered for its attractive, active lifestyle, affordable cost of living and its pleasant and welcoming spirit that beckons the new home buyers. Explore the different areas and new homes for sale in Columbia to decide where home is for you.</p>
","34.00","-81.03"
"696","27|640|641","Florence","Florence","3865","With a low cost of living and many new job opportunities, Florence is truly a great place to live. ","New Homes in","<h3>We invite you to enjoy our mild winters and proximity to the beach!</h3>
<p>Located at the intersection of I-95 and I-20, Florence is an attractive place to live for many reasons. This mid-sized southern city is large enough to boost a performing arts center, museums, festivals, a world-class recreation complex, and award winning hospital systems. Still, the city is small enough to preserve the small-town feeling with a number of tree-lined streets and parks, all which add to the pleasant lifestyle the citizens enjoy.</p>
<p>Florence is a major hub, both for industry and infrastructure, while establishing itself as a regional center for business, medicine, culture, and finance. Florence is home to two award winning hospital systems, McLeord Regional Medical Center and Carolinas Hospital System. Both hospital systems have achieved numerous accreditations and accolades.</p>
<p>Downtown Florence is currently undergoing a massive revitalization. With the opening of the FLorence County museum and the Francis Marion Performing Arts Center, downtown Florence has exloded. Several new restaurants and businesses have opened and many continue to flock to the downtown district.</p>
","34.20","-79.76"
"914","805|806|807","Greenville","Greenville / Upstate","2674","Nestled into the foothills of the Blue Ridge Mountains, Greenville has combined traditional southern charm, stunning natural beauty and an unexpected contemporary cool to create one of America's hottest emerging destinations and fastest growing cities. From a revitalized downtown ranked among ""America's Ten Best"" by Forbes Magazine to downtown Greenville's one-of-a-kind Liberty Bridge, quaint shops, boutiques, and fabulous restaurants to a world-class collection of museums, galleries, and theaters to some of the most beautiful lakes, rivers and mountains in the world, Greenville is everything they say it is and more!","New Homes in","<p>Nestled into the foothills of the Blue Ridge Mountains, Greenville has combined traditional southern charm, stunning natural beauty and an unexpected contemporary cool to create one of America's hottest emerging destinations and fastest growing cities. From a revitalized downtown ranked among ""America's Ten Best"" by Forbes Magazine to downtown Greenville's one-of-a-kind Liberty Bridge, quaint shops, boutiques, and fabulous restaurants to a world-class collection of museums, galleries, and theaters to some of the most beautiful lakes, rivers and mountains in the world, Greenville is everything they say it is and more!</p>
","34.85","-82.39"
"1019","670","Litchfield Beach","Myrtle Beach / Grand Strand","3632","Great Southern Homes now offers its southern charm for those seeking coastal living. ","New Homes in","<p>Litchfield Beach lies just to the north of Pawleys Island and south of Murrells Inlet. Lovely in its own right, it serves as a convenient midpoint between the quiet, historic city of Georgetown and the fun-filled, entertainment destination of Myrtle Beach. It is an unincorporated community governed by Georgetown County. The area was settled in the early 1700s and its name comes from Litchfield Plantation, a former rice plantation in the community. It is renown for its expansive, sugar white beaches and attractive neighborhoods which are secluded from the hustle-bustle of Myrtle Beach. </p>
","33.47","-79.10"
"1082","675|676","Murrells Inlet","Myrtle Beach / Grand Strand","3983","","New Homes in","<p>The heart of Murrells Inlet is an historic fishing village. The marsh walk along the inlet offers a multitude of dining opportunities as well as peaceful inlet views. It is tucked away just 10 miles south of the hustle and bustle of Myrtle Beach. The area appeals to a variety of people of all ages and lifestyles– golfers, fishermen, boaters, retirees and professionals.</p>
<p>Salt water and fresh water are within 3 miles of each other – the Waccamaw River to the west and the Inlet and Ocean to the east.</p>
","33.55","-79.04"
"1030","672|673|674","Myrtle Beach","Myrtle Beach / Grand Strand","3667","Great Southern Homes now offers their southern flair on the coast!","New Homes in","<p>The City of Myrtle Beach is one of the great vacation destinations on America’s East Coast. An estimated 18 million visitors per year flock to the Myrtle Beach region to enjoy the stunning white sand beaches, plentiful seafood, world-class golf courses, thrilling attractions and family activities.  The region is much more than just a vacation destination, it’s a top choice for homebuyers looking for a more relaxed pace of life and where every day is just another day in paradise!</p>
","33.69","-78.89"
"1018","677|678","Pawleys Island","Myrtle Beach / Grand Strand","3631","Great Southern Homes brings their southern charm to the coast. If coastal living is what you are searching for, look no further. ","New Homes in","<p>Situated on the south end of the Grand Strand, Pawleys Island, South Carolina, is a picturesque seaside community that offers a tranquil and welcoming atmosphere to its residents and vacationers year-round. Home to large swaths of undeveloped marshland, rivers, and oceanfront state parks, this area just 30 minutes south of Myrtle Beach, South Carolina, is a perfect destination for outdoors-enthusiasts and those who appreciate the beauty of the Lowcountry landscape offered by a Pawleys Island.</p>
","33.43","-79.12"
"1058","666","Spartanburg","Greenville / Upstate","4517","There is something for every member of the family in and around the Spartanburg area.","New Homes in","<p>Spartanburg is nestled in the foothills of the Blue Ridge Mountains, between Charlotte, NC and Atlanta, GA, and less than an hour south of Asheville, NC. Spartanburg is the largest city in Spartanburg County and the second-largest city in the 10-county region known in South Carolina as the Upstate. Spartanburg is known in the region as popular destination for dining, entertainment, shopping and education. It is home to the outstanding small colleges of Converse and Wofford colleges and the University of South Carolina Upstate campus. The City is host to a robust manufacturing and transportation workplace with emphasis in the textile and automotive industries.</p>
","34.95","-81.93"
"9","609|610","Sumter","Columbia / Midlands","2672","Once a sleepy agricultural town, Sumter has become a burgeoning industrial center. ","New Homes in","<p>Sumter County is located in the heart of South Carolina, with the City of Sumter just 44 miles east of the state capital, Columbia. Sumter is encircled by a modern highway system, including interstates 95, 20, 77 and 26. Sumter enjoys easy access to these interstates via four-lane U.S. Highways.  Once a sleepy agricultural town, Sumter has become a burgeoning industrial center.  With five industrial parks housing about 65 manufacturing facilities and employing about 8,200, the county is a perfect place for both manufacturing and retail expansion. Shaw Air Force Base is also located here, home to the 20th Fighter Wing, Headquarters Ninth Air Force/United States Central Command Air Forces, and several associate units.</p>
","33.92","-80.34"
