"id","revision_id","floorplan","base_price"
"34","34","
  
        Fairbanks A  

","
  
        157500  

"
"31","31","
  
        Crestview II C  

","
  
        162500  

"
"35","35","
  
        Hatfield F  

","
  
        167500  

"
"1510","1530","
  
        Davenport A  

","
  
        172500  

"
"30","30","
  
        Bentgrass A  

","
  
        175500  

"
"1511","1531","
  
        Davenport C  

","
  
        174500  

"
"1514","1534","
  
        Bentgrass B  

","
  
        179000  

"
"1512","1532","
  
        Porter A  

","
  
        180000  

"
"1515","1535","
  
        Bentgrass C  

","
  
        181100  

"
"33","33","
  
        Devonshire B  

","
  
        190500  

"
"1516","1536","
  
        Devonshire A  

","
  
        193000  

"
"1921","1941","
  
        Buckley A  

","
  
        214900  

"
"1922","1942","
  
        Buckley C  

","
  
        214900  

"
"1923","1943","
  
        Riverbend A  

","
  
        235900  

"
"1924","1944","
  
        Riverbend B  

","
  
        235900  

"
"1925","1945","
  
        Bentgrass A  

","
  
        234900  

"
"1926","1946","
  
        Bentgrass F  

","
  
        236900  

"
"1863","1883","
  
        Delaney B2  

","
  
        193900  

"
"1864","1884","
  
        Delaney C6  

","
  
        193900  

"
"1865","1885","
  
        Buckley A  

","
  
        198900  

"
"1866","1886","
  
        Buckley B  

","
  
        198900  

"
"1867","1887","
  
        Buckley C  

","
  
        198900  

"
"1868","1888","
  
        Harper A  

","
  
        196900  

"
"1869","1889","
  
        Harper B  

","
  
        198900  

"
"1870","1890","
  
        Harper C  

","
  
        200900  

"
"2007","2031","
  
        Julie B  

","
  
        204900  

"
"2008","2032","
  
        Julie C2  

","
  
        206900  

"
"2024","2048","
  
        McClean A  

","
  
        208900  

"
"2025","2049","
  
        McClean B  

","
  
        208900  

"
"2026","2050","
  
        McClean C  

","
  
        210900  

"
"1871","1891","
  
        Riverbend A  

","
  
        218900  

"
"1872","1892","
  
        Riverbend B  

","
  
        218900  

"
"1874","1894","
  
        Bentgrass D  

","
  
        215900  

"
"1873","1893","
  
        Bentgrass C  

","
  
        213900  

"
"2086","2110","
  
        Bentgrass F  

","
  
        215900  

"
"1875","1895","
  
        Porter E  

","
  
        219900  

"
"1876","1896","
  
        Porter F  

","
  
        219900  

"
"1877","1897","
  
        Devonshire A  

","
  
        225900  

"
"1878","1898","
  
        Devonshire B  

","
  
        225900  

"
"2087","2111","
  
        Bradley I A  

","
  
        247900  

"
"1880","1900","
  
        Bradley I B  

","
  
        247900  

"
"1951","1971","
  
        Beachwood B  

","
  
        288900  

"
"1952","1972","
  
        Beachwood D4 (Full Brick)  

","
  
        288900  

"
"1953","1973","
  
        Magnolia A Sideload  

","
  
        298900  

"
"1954","1974","
  
        Magnolia B Sideload  

","
  
        300900  

"
"1955","1975","
  
        Edisto II B2  

","
  
        296900  

"
"1956","1976","
  
        Edisto II B4 (Side Load)  

","
  
        302900  

"
"1994","2018","
  
        Edisto II C3 (Side Load)  

","
  
        304900  

"
"1957","1977","
  
        Marco A  

","
  
        298900  

"
"1958","1978","
  
        Marco B  

","
  
        300900  

"
"1959","1979","
  
        Carol A  

","
  
        298900  

"
"1960","1980","
  
        Carol B4 (Full Brick)  

","
  
        300900  

"
"1961","1981","
  
        Azalea A  

","
  
        316900  

"
"1962","1982","
  
        Azalea A4 (Full Brick)  

","
  
        319900  

"
"1963","1983","
  
        Azalea B  

","
  
        316900  

"
"1964","1984","
  
        Azalea C  

","
  
        316900  

"
"743","760","
  
        Davenport C  

","
  
        197400  

"
"1269","1289","
  
        Davenport E  

","
  
        199400  

"
"744","761","
  
        Bentgrass A  

","
  
        200400  

"
"745","762","
  
        Porter A  

","
  
        202400  

"
"1270","1290","
  
        Porter E  

","
  
        203400  

"
"1271","1291","
  
        Porter F  

","
  
        204400  

"
"746","763","
  
        Devonshire B  

","
  
        213400  

"
"575","587","
  
        Magnolia B  

","
  
        252000  

"
"576","588","
  
        Beaumont C  

","
  
        267000  

"
"577","589","
  
        Baker C  

","
  
        277000  

"
"1908","1928","
  
        Darlington A  

","
  
        190900  

"
"1909","1929","
  
        Darlington B  

","
  
        190900  

"
"1910","1930","
  
        Darlington C  

","
  
        190900  

"
"1911","1931","
  
        Olivia A1  

","
  
        199900  

"
"1912","1932","
  
        Olivia B1  

","
  
        199900  

"
"1913","1933","
  
        Annaberry A  

","
  
        204900  

"
"1914","1934","
  
        Annaberry B  

","
  
        204900  

"
"2130","2154","
  
        Buckley II B  

","
  
        215900  

"
"957","976","
  
        Buckley II A  

","
  
        217900  

"
"2131","2155","
  
        Buckley II C  

","
  
        217900  

"
"1258","1278","
  
        McClean A  

","
  
        230900  

"
"1259","1279","
  
        McClean B  

","
  
        230900  

"
"958","977","
  
        McClean C  

","
  
        231900  

"
"966","985","
  
        Davenport II A  

","
  
        224900  

"
"2135","2159","
  
        Davenport II B  

","
  
        224900  

"
"2136","2160","
  
        Davenport II C  

","
  
        224900  

"
"2137","2161","
  
        Davenport II D  

","
  
        224900  

"
"2138","2162","
  
        Davenport II E  

","
  
        229900  

"
"959","978","
  
        Sabel A  

","
  
        229900  

"
"2132","2156","
  
        Sabel B  

","
  
        231900  

"
"2133","2157","
  
        Sabel C  

","
  
        231900  

"
"1024","1043","
  
        Bentcreek B  

","
  
        232900  

"
"2139","2163","
  
        Bentcreek C  

","
  
        232900  

"
"2145","2169","
  
        Bentcreek D  

","
  
        232900  

"
"2146","2170","
  
        Bentcreek E Vinyl  

","
  
        232900  

"
"2147","2171","
  
        Bentcreek F  

","
  
        232900  

"
"1025","1044","
  
        Porter II A  

","
  
        234200  

"
"2140","2164","
  
        Porter II B  

","
  
        234200  

"
"2148","2172","
  
        Porter II E  

","
  
        239200  

"
"2149","2173","
  
        Porter II F  

","
  
        239200  

"
"960","979","
  
        Camellia B w/Bonus  

","
  
        243700  

"
"2134","2158","
  
        Camellia C w/Bonus  

","
  
        243700  

"
"1026","1045","
  
        Devonshire II A  

","
  
        243900  

"
"2142","2166","
  
        Devonshire II B  

","
  
        243900  

"
"2143","2167","
  
        Devonshire II C  

","
  
        246900  

"
"2144","2168","
  
        Devonshire II D  

","
  
        246900  

"
"1027","1046","
  
        Bradley II A  

","
  
        259900  

"
"2141","2165","
  
        Bradley II B  

","
  
        259900  

"
"1076","1096","
  
        Pritchard A  

","
  
        181900  

"
"1077","1097","
  
        Pritchard B  

","
  
        181900  

"
"1999","2023","
  
        Pritchard D  

","
  
        183900  

"
"1078","1098","
  
        Laurel A  

","
  
        191900  

"
"1079","1099","
  
        Laurel B  

","
  
        193900  

"
"1080","1100","
  
        Laurel C  

","
  
        193900  

"
"1081","1101","
  
        Laurel D  

","
  
        194900  

"
"1082","1102","
  
        Hillcrest B  

","
  
        205900  

"
"1083","1103","
  
        Hillcrest C  

","
  
        205900  

"
"1085","1105","
  
        Hillcrest A6  

","
  
        207900  

"
"1084","1104","
  
        Hillcrest D6  

","
  
        207900  

"
"1281","1301","
  
        Crestfall A  

","
  
        214900  

"
"1282","1302","
  
        Crestfall B  

","
  
        211900  

"
"1283","1303","
  
        Crestfall C  

","
  
        213900  

"
"1285","1305","
  
        Pritchard A  

","
  
        166900  

"
"1286","1306","
  
        Pritchard B  

","
  
        168900  

"
"2000","2024","
  
        Pritchard D  

","
  
        169900  

"
"61","61","
  
        Annaberry A  

","
  
        179900  

"
"1597","1617","
  
        Annaberry B  

","
  
        179900  

"
"1599","1619","
  
        Annaberry D  

","
  
        181900  

"
"1598","1618","
  
        Annaberry C  

","
  
        181900  

"
"1602","1622","
  
        Crestview II B  

","
  
        183900  

"
"63","63","
  
        Crestview II C  

","
  
        186900  

"
"2203","2227","
  
        Crestview II D  

","
  
        188900  

"
"1600","1620","
  
        Buckley A  

","
  
        188900  

"
"973","992","
  
        Buckley C  

","
  
        188900  

"
"714","726","
  
        Buckley B  

","
  
        189900  

"
"1603","1623","
  
        Harper A  

","
  
        191900  

"
"70","70","
  
        Queenstown B  

","
  
        192900  

"
"1604","1624","
  
        Queenstown C  

","
  
        192900  

"
"1605","1625","
  
        Queenstown D  

","
  
        196900  

"
"1715","1735","
  
        Queenstown E  

","
  
        196900  

"
"1231","1251","
  
        Queenstown F  

","
  
        196900  

"
"59","59","
  
        Harper B  

","
  
        194900  

"
"1716","1736","
  
        Harper C  

","
  
        194900  

"
"1606","1626","
  
        Davenport A  

","
  
        197900  

"
"1717","1737","
  
        Davenport B  

","
  
        197900  

"
"64","64","
  
        Davenport C  

","
  
        197900  

"
"1718","1738","
  
        Davenport D  

","
  
        197900  

"
"1607","1627","
  
        Davenport E  

","
  
        200900  

"
"62","62","
  
        Bentgrass A  

","
  
        205900  

"
"1719","1739","
  
        Bentgrass B  

","
  
        205900  

"
"1720","1740","
  
        Bentgrass C  

","
  
        205900  

"
"1721","1741","
  
        Bentgrass D  

","
  
        207900  

"
"1722","1742","
  
        Bentgrass E  

","
  
        207900  

"
"1608","1628","
  
        Bentgrass F  

","
  
        207900  

"
"76","76","
  
        Porter E  

","
  
        211900  

"
"77","77","
  
        Porter F  

","
  
        211900  

"
"1723","1743","
  
        Devonshire A  

","
  
        218900  

"
"65","65","
  
        Devonshire B  

","
  
        218900  

"
"1609","1629","
  
        Devonshire C  

","
  
        220900  

"
"1724","1744","
  
        Devonshire D  

","
  
        220900  

"
"1610","1630","
  
        Kingstree II A  

","
  
        225900  

"
"1725","1745","
  
        Kingstree II B  

","
  
        225900  

"
"1726","1746","
  
        Kingstree II C  

","
  
        227900  

"
"67","67","
  
        Kingstree II D  

","
  
        227900  

"
"482","491","
  
        Bradley I A  

","
  
        238900  

"
"1611","1631","
  
        Bradley I B  

","
  
        238900  

"
"1990","2014","
  
        Vista A  

","
  
        154900  

"
"1997","2021","
  
        Vista B  

","
  
        155400  

"
