"tid","title","floorplan","featured_image","term_description"
"1764","Aberdeen A","Aberdeen A","12094","<p><strong>The Aberdeen A</strong><br />
2,394 to 2,757 Square Feet<br />
Four Bedroom / Three and a Half Baths</p>
<p>Great Southern Homes offers many upgraded options as standard features in our new home such as the Honeywell's Home Automation System, ports for overhead speakers in the kitchen, and many GreenSmart features to make your home more energy-efficient which in turn will save you money on your energy costs.  We are also proud to offer home buyers an optional money-back guarantee on energy bills for the first two years that you are in your home. </p>
"
"1765","Aberdeen B","Aberdeen B","12095","<p><strong>The Aberdeen B</strong><br />
2,394 to 2,757 Square Feet<br />
Four Bedroom / Three and a Half Baths</p>
<p>Great Southern Homes offers many upgraded options as standard features in our new home such as the Honeywell's Home Automation System, ports for overhead speakers in the kitchen, and many GreenSmart features to make your home more energy-efficient which in turn will save you money on your energy costs.  We are also proud to offer home buyers an optional money-back guarantee on energy bills for the first two years that you are in your home. </p>
"
"1766","Aberdeen C","Aberdeen C2 (Brick Front)","12096","<p><strong>The Aberdeen C</strong><br />
2,394 to 2,757 Square Feet<br />
Four Bedroom / Three and a Half Baths</p>
<p>Great Southern Homes offers many upgraded options as standard features in our new home such as the Honeywell's Home Automation System, ports for overhead speakers in the kitchen, and many GreenSmart features to make your home more energy-efficient which in turn will save you money on your energy costs.  We are also proud to offer home buyers an optional money-back guarantee on energy bills for the first two years that you are in your home. </p>
"
"1767","Aberdeen D","Aberdeen D","12097","<p><strong>The Aberdeen D</strong><br />
2,394 to 2,757 Square Feet<br />
Four Bedroom / Three and a Half Baths</p>
<p>Great Southern Homes offers many upgraded options as standard features in our new home such as the Honeywell's Home Automation System, ports for overhead speakers in the kitchen, and many GreenSmart features to make your home more energy-efficient which in turn will save you money on your energy costs.  We are also proud to offer home buyers an optional money-back guarantee on energy bills for the first two years that you are in your home. </p>
"
"806","Albury A","Albury A","1846",""
"807","Albury B","Albury B","1847",""
"833","Amelia C2","Amelia C2","24160",""
"834","Amelia D6","Amelia D6","24161",""
"832","Amelia E4","Amelia E4","24162",""
"835","Amelia F4","Amelia F4","24163",""
