"tid","fcid","title","plan_number","featured_image","term_description","square_feet","bedrooms","full_baths","half_baths","floors","garage(s)","master","floorplan_illustration(s)","downloadable_brochure","marketing_images","floorplan_video","is_published"
"1760","","Aberdeen A","Aberdeen A","12069","<p><strong>The Aberdeen A</strong><br />
2,394 to 2,757 Square Feet<br />
Four Bedroom / Three and a Half Baths</p>
<p>Great Southern Homes offers many upgraded options as standard features in our new home such as the Honeywell's Home Automation System, ports for overhead speakers in the kitchen, and many GreenSmart features to make your home more energy-efficient which in turn will save you money on your energy costs.  We are also proud to offer home buyers an optional money-back guarantee on energy bills for the first two years that you are in your home. </p>
","2394","4","3","1","2","2","Main, 1st Floor","12070 |12071 |12072 |12073 ","https://www.greatsouthernhomes.com/sites/default/files/Aberdeen%20Sales_1.pdf","","","1"
"1761","","Aberdeen B","Aberdeen B","12075","<p><strong>The Aberdeen B</strong><br />
2,394 to 2,757 Square Feet<br />
Four Bedroom / Three and a Half Baths</p>
<p>Great Southern Homes offers many upgraded options as standard features in our new home such as the Honeywell's Home Automation System, ports for overhead speakers in the kitchen, and many GreenSmart features to make your home more energy-efficient which in turn will save you money on your energy costs.  We are also proud to offer home buyers an optional money-back guarantee on energy bills for the first two years that you are in your home. </p>
","2394","4","3","1","2","2","Main, 1st Floor","12076 |12077 |12078 |12079 ","https://www.greatsouthernhomes.com/sites/default/files/Aberdeen%20Sales_1_1.pdf","","","1"
"1762","","Aberdeen C2 (Brick Front)","Aberdeen C2 (Brick Front)","12082","<p><strong>The Aberdeen C2 (Brick Front)</strong><br />
2,394 to 2,757 Square Feet<br />
Four Bedroom / Three and a Half Baths</p>
<p>Great Southern Homes offers many upgraded options as standard features in our new home such as the Honeywell's Home Automation System, ports for overhead speakers in the kitchen, and many GreenSmart features to make your home more energy-efficient which in turn will save you money on your energy costs.  We are also proud to offer home buyers an optional money-back guarantee on energy bills for the first two years that you are in your home. </p>
","2394","4","3","1","2","2","Main, 1st Floor","12083 |12084 |12085 |12086 ","https://www.greatsouthernhomes.com/sites/default/files/Aberdeen%20Sales_1_2.pdf","","","1"
"1763","","Aberdeen D","Aberdeen D","12088","<p><strong>The Aberdeen D</strong><br />
2,394 to 2,757 Square Feet<br />
Four Bedroom / Three and a Half Baths</p>
<p>Great Southern Homes offers many upgraded options as standard features in our new home such as the Honeywell's Home Automation System, ports for overhead speakers in the kitchen, and many GreenSmart features to make your home more energy-efficient which in turn will save you money on your energy costs.  We are also proud to offer home buyers an optional money-back guarantee on energy bills for the first two years that you are in your home. </p>
","2394","4","3","1","2","2","Main, 1st Floor","12089 |12090 |12091 |12092 ","https://www.greatsouthernhomes.com/sites/default/files/Aberdeen%20Sales_1_3.pdf","","","1"
"608","","Albury A","Albury A ","1426","","2812","4","2","1","3","2","Up","1427 |1428 |1429 ","https://www.greatsouthernhomes.com/sites/default/files/Albury%20Sales%20REV_0.pdf","","",""
"732","","Albury B","Albury B","1430","","2812","4","2","1","3","2","Up","1431 |1432 |1433 ","https://www.greatsouthernhomes.com/sites/default/files/Albury%20Sales%20REV.pdf","","",""
"1594","","Amelia C2","Amelia C2","24144","<p style=""font-size: 14px;""><strong>The Amelia C2 (Brick Front)</strong><br />
Three Bedrooms, Two and a Half Baths, Two-Car Garage<br />
1,547 Square Feet</p>
<p style=""font-size: 14px;"">The Amelia floorplan consists of a little over 1,500 square feet, but feels much bigger! This home has 3 bedrooms, 2.5 bathrooms and a 2-car garage. This lovely plan is a 2-story home with a large kitchen for entertaining.</p>
<p style=""font-size: 14px;"">Great Southern Homes offers many upgraded options as standard features in our new home such as Honeywell's Home Automation System, ports for overhead speakers in the kitchen, and many GreenSmart features to make your home more energy-efficient which in turn will save you money on your energy costs.  We are also proud to offer home buyers an optional money-back guarantee on energy bills for the first two years that you are in your home. </p>
","1547","3","2","1","2","2","Down","24145 |24146 ","https://www.greatsouthernhomes.com/sites/default/files/Amelia%20Sales_1.pdf","","","1"
"1595","","Amelia D6","Amelia D6","24148","<p><strong>The Amelia D6 (Stone Front)</strong><br />
Three Bedrooms, Two and a Half Baths, Two-Car Garage<br />
1,547 Square Feet</p>
<p>The Amelia floorplan consists of a little over 1,500 square feet, but feels much bigger! This home has 3 bedrooms, 2.5 bathrooms and a 2-car garage. This lovely plan is a 2-story home with a large kitchen for entertaining.</p>
<p>Great Southern Homes offers many upgraded options as standard features in our new home such as Honeywell's Home Automation System, ports for overhead speakers in the kitchen, and many GreenSmart features to make your home more energy-efficient which in turn will save you money on your energy costs.  We are also proud to offer home buyers an optional money-back guarantee on energy bills for the first two years that you are in your home. </p>
","1547","3","2","1","2","2","Down","24149 |24150 ","https://www.greatsouthernhomes.com/sites/default/files/Amelia%20Sales_1_0.pdf","","","1"
"831","","Amelia E4","Amelia E4","24152","<p><strong>The Amelia E4 (Full Brick)</strong><br />
Three Bedrooms, Two and a Half Baths, Two-Car Garage<br />
1,547 Square Feet</p>
<p>The Amelia floorplan consists of a little over 1,500 square feet, but feels much bigger! This home has 3 bedrooms, 2.5 bathrooms and a 2-car garage. This lovely plan is a 2-story home with a large kitchen for entertaining.</p>
<p>Great Southern Homes offers many upgraded options as standard features in our new home such as Honeywell's Home Automation System, ports for overhead speakers in the kitchen, and many GreenSmart features to make your home more energy-efficient which in turn will save you money on your energy costs.  We are also proud to offer home buyers an optional money-back guarantee on energy bills for the first two years that you are in your home. </p>
","1547","3","2","1","2","2","Down","24153 |24154 ","https://www.greatsouthernhomes.com/sites/default/files/Amelia%20Sales_1_1.pdf","3308|3309|3310|3311","","1"
"1596","","Amelia F4","Amelia F4","24156","<p><strong>The Amelia F4 (Full Brick)</strong><br />
Three Bedrooms, Two and a Half Baths, Two-Car Garage<br />
1,547 Square Feet</p>
<p>The Amelia floorplan consists of a little over 1,500 square feet, but feels much bigger! This home has 3 bedrooms, 2.5 bathrooms and a 2-car garage. This lovely plan is a 2-story home with a large kitchen for entertaining.</p>
<p>Great Southern Homes offers many upgraded options as standard features in our new home such as Honeywell's Home Automation System, ports for overhead speakers in the kitchen, and many GreenSmart features to make your home more energy-efficient which in turn will save you money on your energy costs.  We are also proud to offer home buyers an optional money-back guarantee on energy bills for the first two years that you are in your home. </p>
","1547","3","2","1","2","2","Down","24157 |24158 ","https://www.greatsouthernhomes.com/sites/default/files/Amelia%20Sales_1_2.pdf","","","1"
