"nid","vid","title","author_uid","status","post_date","updated_date","promoted_to_front_page","sticky","news_image","news_description","news_category"
"3692","3701","Great Southern Homes Rises to 54th Largest Builder in Builder Top 100","245","1","1558720509","1558722737","1","0","24303","<p>(Irmo, SC) – In the most recent Builder 100 list of the nation’s largest homebuilders, Great Southern Homes rose 14 positions to become the 54th largest builder in the nation (Builder Magazine, May 2019). In 2018, the company achieved $200 million in closed sales volume with 947 homes closed, an average settlement pace of 79 new homes per month.</p>
<p>This past year, the privately-held Great Southern Homes with headquarters in Irmo, SC set record- setting performance with over 1,000 new home sales and topping over $200 million in sales for the first time in the company’s history. The company now builds in over 100 communities throughout South Carolina and Augusta Georgia and its footprint extends to most new housing markets across the state.</p>
<p>As one of the Southeast’s fastest-growing builders and Builder Magazine’s 54th Largest Builder, Great Southern Homes knows the housing market of the Southeast better than anyone. Since our beginning, we’ve built homes on the solid foundation of exceptional quality, industry-leading construction standards and brilliant energy-smart and cost-efficient features. Great Southern Homes currently builds new homes throughout South Carolina with operations in the Midlands, Greenville/Spartanburg, Clemson, Charleston, Myrtle Beach/Georgetown, Florence, Sumter and Aiken/Augusta.</p>
","Breaking News"
"3690","3699","Great Southern Homes Rises to 54 th Largest Builder in Builder Top 100","2011","0","1558618423","1558618610","0","0","24300","<p>(Irmo, SC) – In the most recent Builder 100 list of the nation’s largest homebuilders, Great Southern<br />
Homes rose 14 positions to become the 54 th largest builder in the nation (Builder Magazine, May 2019).<br />
In 2018, the company achieved $200 million in closed sales volume with 947 homes closed, an average<br />
settlement pace of 79 new homes per month.<br />
This past year, the privately-held Great Southern Homes with headquarters in Irmo, SC set record-<br />
setting performance with over 1,000 new home sales and topping over $200 million in sales for the<br />
first time in the company’s history. The company now builds in over 100 communities throughout<br />
South Carolina and Augusta Georgia and its footprint extends to most new housing markets across the<br />
state.</p>
<p> </p>
<p>As one of the Southeast’s fastest-growing builders and Builder Magazine’s 54 th Largest Builder, Great Southern<br />
Homes knows the housing market of the Southeast better than anyone. Since our beginning, we’ve built homes<br />
on the solid foundation of exceptional quality, industry-leading construction standards and brilliant energy-smart<br />
and cost-efficient features. Great Southern Homes currently builds new homes throughout South Carolina with<br />
operations in the Midlands, Greenville/Spartanburg, Clemson, Charleston, Myrtle Beach/Georgetown, Florence,<br />
Sumter and Aiken/Augusta.</p>
","Breaking News"
"3438","3441","Great Southern Homes Savors Big Night at 2019 Regal Awards!","2011","1","1551350866","1551499179","0","0","21494","<p> </p>
<p>Great Southern Homes had a great night Saturday evening at the Regal Awards (February 23, 2019) with a plethora of Regal Awards and Recognitions. Our sales and marketing folks are simply the best in the business! Here are 35 great reasons why!</p>
<p><img alt="""" src=""/sites/default/files/news/GSH-Regal-Award-Winners_10_2019_Page_1b.jpg"" style=""width: 100%; height: auto;"" /></p>
<p><img alt="""" src=""/sites/default/files/news/GSH-Regal-Award-Winners_11_2019_Page_2b.jpg"" style=""width: 100%; height: auto;"" /></p>
<p> </p>
","Breaking News"
"3324","3327","2018 – A Great Year for Great Southern Homes!","245","1","1546534873","1546607300","1","0","20300","<p>2018 has been a great year for Great Southern Homes with so many great accomplishments. We achieved over <strong>1,000 home sales</strong>, a first for the company, and grew to over <strong>$215 million in sales!</strong></p>
<hr />
<h2><a href=""https://www.greatsouthernhomes.com/news/great-southern-homes-voted-%E2%80%9Cbest-home-builder-2018%E2%80%9D-state-newspaper""><img alt=""Best Home Builder 2018"" src=""/sites/default/files/news/sc-best-homebuilder-2018-badge-96w.png"" style=""float: right; width: 96px; height: 97px; margin: 20px 30px;"" /></a>Company Milestones</h2>
<p>Along with our growth in sales, we were recognized as <strong><a href=""https://www.greatsouthernhomes.com/news/great-southern-homes-voted-%E2%80%9Cbest-home-builder-2018%E2%80%9D-state-newspaper"">Best Builder by The State Newspaper for the second year in a row</a>!</strong> And, we were also chosen as <strong>Best Homebuilder by Lexington Life and Irmo/Chapin Life</strong> for 2018, making that 3 years in a row! We rose to be <strong>#1 in new home sales for Sumter and Florence</strong> and for the first time, we <strong>surpassed 100+ home sales in Sumter!</strong></p>
<hr />
<h2><strong><a href=""https://www.greatsouthernhomes.com/news/michael-nieri-inducted-south-carolina-housing-hall-fame""><img alt=""Michael Nieri Inducted into The South Carolina Housing Hall of Fame"" src=""/sites/default/files/news/nieri-shouse.jpg"" style=""margin: 20px 30px; float: left; width: 300px; height: 192px;"" /></a></strong>Industry Recognition</h2>
<p>Our leadership achieved outstanding industry recognitions including our owner and founder, <strong>Michael Nieri</strong>, who was <a href=""https://www.greatsouthernhomes.com/news/michael-nieri-inducted-south-carolina-housing-hall-fame""><strong>inducted into the SC Housing Hall of Fame</strong></a> and served as the <strong>President BIA Charitable Foundation</strong>. <strong>Mike Satterfield</strong>, EVP/CEO was honored with the <a href=""https://www.greatsouthernhomes.com/news/great-southern-homes-earns-multiple-honors-hbasc-conference""><strong>Thomas N. Bagnal Builder HBASC Member of the Year Award</strong></a> and served as the <strong>2018 President of the BIA of Central SC</strong>. We announced <a href=""https://www.greatsouthernhomes.com/news/shelton-twine-named-chief-operating-officer""><strong>Shelton Twine as Chief Operating Officer</strong></a> of the company.</p>
<hr />
<h2><a href=""https://www.greatsouthernhomes.com/news/boys-farm-cuts-ribbon-nieri-house-newberry-observer""><img alt="""" src=""/sites/default/files/news/Nieri%20House%20Ribbon%20Cutting%20%281%29.jpg"" style=""margin: 20px 30px; float: right; width: 300px; height: 179px;"" /></a>Giving Back</h2>
<p>Our company continues to give abundantly including cutting the ribbon for <a href=""https://www.greatsouthernhomes.com/news/ribbon-cutting-nieri-family-cottage-boys-farm-newberry""><strong>The Nieri Family House at Boys Farm in Newberry</strong></a>, the third residency house that we have built at the Farm. We led the construction of the <a href=""https://www.greatsouthernhomes.com/news/future-home-jamia-porcher-georgetown-sc""><strong>Jamia Porcher House in Georgetown</strong></a> for a woman veteran and Clemson student who was injured in a car accident. The house is designed so Jamia can live life to the fullest as she is challenged because of her injuries.</p>
<hr />
<h2><a href=""https://www.greatsouthernhomes.com/news/great-southern-homes-earns-multiple-honors-hbasc-conference""><img alt=""Great Southern Homes Earns Multiple Honors at HBASC Conference"" src=""/sites/default/files/news/SC-HBA-Awards-2018.jpg"" style=""float: left; width: 400px; height: 164px; margin: 20px 30px;"" /></a>Awards!</h2>
<p>This past year, we earned numerous awards for design, marketing and sales excellence including our <strong>first national award in design for The Regal for the Best in American Living Awards</strong>. We were recognized with <strong>three green energy awards</strong> for innovation and quality in new home construction with awards at the state-level, Midlands and the Upstate. We earned <strong>four first-place, state-wide awards</strong> including: the above-mentioned green-energy award, a community service award and two original house plan design awards. We garnered <a href=""https://www.greatsouthernhomes.com/news/great-southern-homes-earns-multiple-honors-hbasc-conference""><strong>eight awards for excellence in Midlands homebuilding</strong></a> including four sales awards / marketing awards and four original home design awards. And, we earned <strong>two Upstate recognitions</strong> including best plan and the green energy award mentioned above. All in all, we took home <strong>over 30 sales, marketing and design awards in 2018</strong>!</p>
<hr />
<p class=""rtecenter"" style=""font-size: 1.4em; text-align:center; margin-top:4em;""><strong>Thank you and congratulations to all for making 2018 a hallmark year! </strong></p>
<p class=""rtecenter"" style=""font-size: 1.4em; text-align:center; margin-bottom:4em;""><strong>We are very, very excited about 2019 and what lies ahead!</strong></p>
","Breaking News"
"3235","3238","Great Southern Homes Voted “Best Home Builder 2018” by The State Newspaper","245","1","1541747454","1541770000","1","0","19161","<p>Irmo, SC - Great Southern Homes is honored to announce that it has been voted 2018’s “Best Builder” by the State Newspaper. This is the second consecutive year in a row that the homebuilder has been chosen for the honored recognition. The “Best of The State” recognition is voted on by both digital and print readers of the State Newspaper and is a popular ranking of the best business and service firms in the Midlands of South Carolina.</p>
<p>Mike Satterfield, EVP/CEO said about the award, “The people have voted! We’re The State’s 2018 Best Builder and proud to claim the title for the second straight year! We really appreciate that the general public likes us and confirms what our peers in the building industry have been saying for several years that Great Southern Homes has been on an impressive run as the Midland’s #1 Builder in this competitive homebuilding industry. We look forward to a strong finish in 2018 and an even more exciting 2019!”</p>
",""
"3241","3244","""Boys Farm Cuts Ribbon for The Nieri House"" - The Newberry Observer","255","1","1540222648","1542210119","1","0","19288","<p><b>By Kelly Duncan - <a href=""mailto:kduncan@newberryobserver.com"">kduncan@newberryobserver.com</a></b></p>
<p>NEWBERRY — Over the weekend, Boys Farm held its 14th annual Fall Festival, the highlight of the festival was the ribbon cutting ceremony for Boys Farm’s newest house the ‘Nieri House.’</p>
<p>According to greatsouthernhomes.com the building is 6,712 square feet with nine bedrooms and offers needed additional space at the farm.</p>
<p>Development Director Andre Jennings said the new addition came to be a few years ago after Michael Nieri, president and founder of Great Southern Homes, approached Boys Farm wanting to get involved.</p>
<p>“Michael Nieri approached us a couple of years ago and said he wanted to be involved with Boys Farm and asked if he could help us out by building houses, so of course we said yes and he came out for a tour along with Building Industry Association of Central Midlands (BIA),” Jennings said.</p>
<p>Then, in 2014 Nieri along with BIA came out and built two houses at Boys Farm and last year Nieri approached Boys Farm wanting to do more. Thus began the process of building the Nieri House.</p>
<p>“We’re just excited that Michael Nieri and Great Southern Homes and his team have been so excited and so willing to help us out,” Jennings said.</p>
<p>Jennings added with the addition of the Nieri House, it will helps Boys Farm continue to serve needy boys.</p>
<p>“Boys Farm has been serving needy boys since the 60s and we believe we have a really good model of helping children and families in difficult situations and so this is going to expand out capacity by over 25 percent, this is a really important thing because in South Carolina there is still a big need for foster care type homes and this is not only helping us serve more children, but serve them in a much better situation,” he said.</p>
<p>The long term plan, Jennings said, is to add one more cottage for the boys.</p>
<p>“Who knows what we can do after that, we don’t want to grow too big, we definitely want to have a model that serves the boys, but doesn’t get so big that it becomes an institution, we want it to be a very family-oriented atmosphere,” he said.</p>
<p>Although the boys will have to wait a few more weeks before moving in, Jennings said they are thrilled about the new facility.</p>
<p>“The boys are thrilled, most of our facilities were built in the 70s and they require a lot of maintenance, so this new house, not only is the design very functional, it offers so much more living space for the children in the house, plenty of space for game opportunities, just an entire new living experience,” he said.</p>
<p>Mayor Foster Senn commended Nieri and Great Southern Homes for the new addition, saying that the Nieri House will benefit the boys for years to come.</p>
<p>“They (Boys Farm) take boys in difficult situations, brings them up in a positive, caring family environment, there’s a lot of love going on here at Boys Farm. On behalf of the City of Newberry and the Newberry community we also want to thank Michael Nieri of Great Southern Homes, what a beautiful home this is. Great Southern Homes you all know is one of the best and largest builders in the region, in 2017 they were named South Carolina Builder of the Year which is quite an accomplishment,” Senn said.</p>
<p>Nieri said it was a pleasure to work with Boys Farm and that they are excited for what the future holds.</p>
<p>“This has been a real pleasure working with Boys Farm and we’re excited about the future and we do plan on starting immediately to possibly start a fourth house very soon, we’re just scouting around trying to find a little piece of dirt to build another one,” he said.</p>
<p> <br />
Reach Kelly Duncan at 803-768-3123 ext. 1868 or on Twitter @TheNBOnews.</p>
","Breaking News"
"3137","3140","Future Home of Jamia Porcher in Georgetown, SC","255","1","1539705259","1539794409","1","0","16326","<p><span class=""cite"">Great Southern Homes is proud to serve as the general sponsor and contractor of Mia’s House, a homebuilding project for Jamia Porcher (nicknamed Mia). </span></p>
<p><span class=""cite"">Mia’s story is a powerful testimonial to grit, determination and strong spirit to make the best of a difficult situation brought on by her very difficult injuries.  <strong>We have republished her story from the South Strand News below. </strong></span></p>
<div style=""position:relative; width:100%; height:0px; padding-bottom:56.25%;"">
<iframe allowfullscreen="""" frameborder=""0"" src=""https://spark.adobe.com/video/IWIw693cAvWkn/embed"" style=""position:absolute; left:0; top:0; width:100%; height:100%""></iframe></div>
<p><span class=""cite"">Mia’s House is a construction project of a new home for her that is provided by a Veterans Administration Specially Adapted Housing Grant and Great Southern Homes. Also many others trades, suppliers and contractors are participating in the project with their kind support and donations including: 84 Lumber, Carolina Sales, Concrete Supply, Contract Exteriors, Dean Custom Air, Fogel & Sons Electric, GAF, Gateway Supply, Insulation By Cohen's, J. C. Hollingsworth, KB Kitchen, L&W Supply, Litecraft, Moen, Mohawk, Norbord, Perfection Landscaping, Piedmont Plumbers of MB, PlyGem, RFP Technologies, Rite Rug, Rivertown Construction, RLA Associates, PA, Sherwin Williams, Stonequarters, Strand Paint, TCI (Installed Building Products), Titan Enterprises of SC, Topline Construction, Universal Forest Products, Variform Siding and Whirlpool. </span></p>
<p><span class=""cite""><img alt="""" src=""/sites/default/files/news/IMG_5130.jpg"" style=""margin-top: 20px; margin-bottom: 20px; width: 585px; height: 367px;"" /></span></p>
<hr />
<h1>Still Mia: Devastating injury took GHS grad's mobility but not her spirit</h1>
<p>By Chris Sokoloski <a href=""mailto:csokoloski@southstrandnews.com"">csokoloski@southstrandnews.com</a></p>
<p>In many ways, Jamia Porcher is your typical 20-year-old.</p>
<p>She likes to hang out with her friends and watch her little sister play high school basketball, and she dreams of graduating from Clemson University. But the Georgetown High School graduate and S.C. Air National Guard veteran is far from typical.</p>
<p><img alt="""" src=""/sites/default/files/news/Mia%20Sophomore%20Pic.jpg"" style=""margin: 10px; float: right; width: 80px; height: 253px;"" /></p>
<p>Mia, as people call her, is a quadriplegic and must use a wheelchair since a devastating accident on June 7, 2016.</p>
<p>Mia was driving to McEntire Joint National Guard Base in Hopkins on that fateful night last year when she was nearly hit head-on by a truck that had drifted into her lane. Although she avoided the crash, she watched as the truck hit another vehicle.</p>
<p>After stopping to see if she could help, Mia was hit by a passing car.</p>
<p>“I kind of think about,"" Mia says, ""why did I stop, what made me stop?”</p>
<p>Michelle Annicchiarico, Mia’s mother, said when she first got the news about the accident, she was just thankful that her daughter was alive, but then the doctors told her that Mia probably wouldn’t survive.</p>
<p>When it became clear that Mia would survive, doctors told Michelle that her daugher would be on a ventilator for the rest of her life.</p>
<p>Mia said when she first woke up after the accident, she was “confused” and it was awhile before she realized how badly she was hurt.</p>
<p>For the first few months, she remained on a ventilator and had to wear a neck brace, but eventually she was able to breath on her own and since the accident, she has regained the ability to move her head. Some feeling and movement have also returned in her shoulders and the tops of her arms.</p>
<p>“I’ve gotten a lot stronger,” Mia said.</p>
<p>She lives with her mother and siblings in a rented mobile home in Georgetown. She said the hardest part of life is not having her independence, but her attitude is positive.</p>
<p>“I have a lot of help and a lot of support,” Mia said. “Things aren’t the easiest, but it could be worse.”</p>
<p>Mia and her mother both said the mobile home is not large enough or equipped for someone in a wheelchair.</p>
<p><img alt=""Mia Porcher"" src=""/sites/default/files/news/Mia%20Porcher.jpg"" style=""margin-top: 20px; margin-bottom: 20px; width: 500px; height: 666px;"" /></p>
<p>“I wish she could have a little bit more independence as far as … adaptive (equipment),” Michelle said. “We have limited space. I just want her to keep as much independence as she can. I want her to be comfortable.”</p>
<p>Three days a week, Mia travels to Roper St. Francis Rehabilitation Hospital in Charleston for therapy, including weight-bearing and muscle-memory exercises. Therapists also connect electrodes to her muscles to try and make them stronger. She also has in-home therapy.</p>
<p>“Just trying to get back whatever she can get back consumes our days,” her mother said.</p>
<p>Mia said she doesn’t give a lot of thought to what medical advances or cures there might be in the future. For now, she’s just working to help herself.</p>
<p>When not at therapy or hanging out with friends, Mia loves to watch her sister, Arian Lance, and cousins play basketball. She was a regular fixture at Arian’s Georgetown High basketball games and Georgetown County Parks and Recreation games.</p>
<p><img alt="""" src=""/sites/default/files/news/Mia%20Attends%20Georgetown%20High.jpg"" style=""margin-top: 20px; margin-bottom: 20px; width: 585px; height: 439px;"" /></p>
<p>“I still love it,” she said.</p>
<p>“She’s still active. She still keeps in touch with all of her friends,” Michelle said and adding that her daughter ""keeps me going.”</p>
<p>Tony Ford coached Mia at Georgetown High.</p>
<p>“She can’t do the things she used to do, but she’s still Mia,” Tony said. “I love that. She’s still got that attitude.”</p>
<p>The coach recalled how Mia was an honor roll student, very smart and very “strong-minded.”</p>
<p>“She had a powerful attitude,” he added.</p>
<p>When Mia was a senior and Arian was an eighth-grader, the coach promoted Arian to the varsity squad so the sisters could play together. One day he found the girls playing a one-on-one game in the gym and Mia was “banging” on Arian. He said at first he wondered why Mia was being so tough, but then he realized she was just trying to make her sister better.</p>
<p>Before the accident, Mia had completed one year at Clemson, where she earned a spot on the Dean’s List. She plans to return to school in August to finish her degree in business management.</p>
<p>Her mother said she's confident that Mia will graduate from Clemson.</p>
<p>Mia’s long-term goal is still to own her own business one day. In 10 years, she sees herself “hopefully back to normal and back to my career goals (and) more independent and more back to where I was before the accident.”</p>
<p>Mia’s uncle, Thomas Lance, has organized a #Miastrong Committee of friends and family members to raise money to get Mia and her family into a “smart” home with voice-activated equipment and appliances. Committee members meet frequently to plan fundraisers.</p>
<p>The first event on March 11 will be a co-ed alumni basketball game at Georgetown High featuring a team of graduates from Carvers Bay, Pleasant Hill and Choppee high schools vs. a team of graduates from Howard, Winyah and Georgetown high schools.</p>
<p>Thomas is also planning a skills competition that day, including three-point shooting and slam dunk contests, for current high school players.</p>
<p>Mia, her mom and Thomas said they've been touched by the outpouring of community support.</p>
<p>“Everybody does this in their free time,"" Mia said. ""It shows they care, and I’m really appreciative of what they’re doing. I’m thankful.”</p>
<p>“It just makes me feel great,” her mother said. “She’s just a great kid. It makes me proud.”</p>
<p>And her uncle adds, “It shows that people still care. Everybody wants to help.” He's also started a gofundme.com account to collect donations. People can also send a check to P.O. Box 6, Georgetown SC 29440.</p>
<p>For more information on helping Mia or participating in the alumni game, call Thomas at 843-485-7195 or Keith Moore at 843-344-0859.</p>
<p><em>Republished from the South Strand News - February 17, 2017</em></p>
<p><em><a href=""https://www.southstrandnews.com/news/still-mia-devastating-injury-took-ghs-grad-s-mobility-but/article_bef3a462-ee3d-11e6-b2e6-07916c4fb964.html"">https://www.southstrandnews.com/news/still-mia-devastating-injury-took-g...</a></em></p>
<p> </p>
","Breaking News"
"3242","3245","Great Southern Homes Mike Satterfield Is An Industry Heavy Hitter","255","1","1539359329","1542212451","1","0","19289","<p><strong>By Vincent Harris, Columbia Business Monthly</strong></p>
<p>COLUMBIA, SC — When Mike Satterfield accepted the position of CEO for Great Southern Homes in 2013, he brought more than 30 years of home-building experience with him. Since then, he has helped the company grow year after year.</p>
<p>In July, Satterfield was honored by the South Carolina Home Builders Association, which gave him their annual Thomas N. Bagnal Builder Member of the Year award. The award honored not just his success in the home-building industry, but his commitment to community service. That service follows in the footsteps of the award’s namesake who passed away in 2011.</p>
<p>Bagnal was a charter member of the Home Builders Association of Greater Columbia in 1958 and a two-term president. He left behind a reputation as an exemplary businessman who also served his community, including a 12-year stint on the Richland County Planning Commission.</p>
<p>Satterfield hopes that he won this award because there’s a little bit of Bagnal in the way he conducts himself.</p>
<p>Under Satterfield’s leadership, along with Founder Michael Nieri, Great Southern homes has raised money and built residency cottages for the Boys Farm of Newberry, a group that helps boys who are experiencing difficult family situations, and donated to Camp Cole, special gathering place for purpose driven groups.The company also raises money for the Building Industry Charitable Foundation, which helps a variety of organizations and individuals.</p>
<p>“I knew Mr. Bagnal. He was a great guy. If you ask around, you won’t find anybody that says a bad word about him,” says Satterfield, who is also the current president of the Building Industry Association of Central South Carolina. “It was kind of odd when I received this award because 25 years ago I was at a roast in his honor, and I asked my girlfriend, who is now my wife, ‘I wonder what a guy has to do to get to that level?’</p>
<p>“I always wanted to leave a mark, to try to run a business where you do the right thing and you treat people the way you’d like to be treated, and maybe then I’d be in a position to receive an award like that,” Satterfield adds. “So maybe the fact that I wondered if something like that could happen to me put me on a path to being a man like Tom Bagnal.”</p>
<p>It will be a while before we know the scope of Satterfield’s legacy and if it compares to Bagnal’s, but he’s definitely made a mark on Great Southern Homes.</p>
<p>The Columbia company was founded by Nieri in 2004 and specialized in entry-level product for the first time home buyer.. It was a successful model for two decades or so, but the company was still hurting from the 2008 recession when Satterfield came on board, bringing a wealth of hands-on experience with him.</p>
<p>“If you look up ‘on-the-job training’ in Webster’s dictionary, you’re going to see my picture,” he says with a laugh. “I graduated high school but didn’t go to college, and I got into home building at the ripe old age of 19. I spent 10 years building apartments, then 20 years with Centex homes here in the Midlands. For the last eight years I was there, I was the division president over Columbia and Greenville. At that time, we were one of the largest developer-builder companies under one roof.”</p>
<p>After his 20 years at Centex, Satterfield decided to move into semi-retirement, building five or six custom homes a year, but mostly hunting and fishing. But that life of relative leisure didn’t last long.</p>
<p>“I had to work at not working,” he says. “After running a big operation and being driven by that, it didn’t work well for me. I’d find myself in a deer stand at three in the afternoon thinking that was what I’d wanted to do, but then feeling guilty because I felt like I should be working somewhere. I wanted to get back in the game without giving up where I lived.”</p>
<p>That was around 2013, when Nieri came calling.</p>
<p>“One of my suppliers told me that Michael wanted to talk to me,” Satterfield says. “I went and sat down with him, and the direction he wanted to take the company was different from where they’d been. They were at an entry-level home building level, and I come from more of an environment where you build multiple products in multiple price points in multiple market segments. We agreed that that was the path he wanted his company to go with and it was a good fit for me, so we gave it a go.”</p>
<p>Bringing some of his crew from the Centex days, Satterfield revamped Great Southern Homes with a new strategy.</p>
<p>“They were focused on very entry-level homes, and it’s hard to make them attractive,” he says. “So the goal was to create a product that had curb appeal, but to use the technology that’s out there today to provide the efficiency people want. If you can’t get a potential customer out of the car, you’re not going to sell them a house. So we tried to create curb appeal with our product and add the tech that’s important to the buyer.”</p>
<p>Under Satterfield, Great Southern Homes radically expanded their home-building approach, creating everything from duplexes for around $125,000 to single-family homes for $350,000-$400,000 to million-dollar custom-built houses.</p>
<p>The result was a stunning period of growth in a still-recovering market.</p>
<p>“In 2013, I can tell you we sold about 250 homes,” Satterfield says. “This year, I’m projecting that we’ll sell 1,150. In 2013, we weren’t on anybody’s radar, and by 2016, we were the 62nd largest builder in the country. I hope to break 60th this year. The growth has been off the chain.</p>
<p>“We’ve now got properties in Greenville, Spartanburg, Pickens County, and Anderson County, along with Augusta, Ga. We’ve stretched all over the state, and we’ve averaged 30 percent growth every year.”</p>
<p>But how much of that success came from Satterfield’s strategy, and how much came from the economy’s gradual recovery?</p>
<p>“I think it’s both,” he says. “The market rebounded from the recession, but there were fewer builders, so the opportunity to get more was certainly there. The timing was right."" </p>
<p>Satterfield adds, ""We have a great group of people because we were able to pick the best of the best. We’ve been very fortunate in this market.”</p>
<p>Photography of Mike Satterfield © 2018 Brian Dressler / dresslerphoto.com</p>
","Breaking News"
"3123","3126","Ribbon-Cutting for The Nieri Family Cottage at Boys Farm of Newberry","245","1","1539033229","1539092095","1","0","16185","<h4>Ceremony Scheduled for October 13, 2018 at 2:00 PM</h4>
<p>(NEWBERRY, SC) - The Midlands children's home, Boys Farm of Newberry will welcome a third residency cottage named “The Nieri Family Cottage” on October 13, 2018.  A ribbon-cutting will be held at 2:00 PM.  President and founder of Great Southern Homes, Michael Nieri volunteered to build the cottage on behalf of the Building Industry Association of Central Midlands (“BIA”) with support from the BIA’s Charitable Foundation. “We are honored to help accommodate the growing needs of children to have a safe home and give them hope for generations to come,” said Nieri.</p>
<p>In recognition of Nieri’s previous contributions and his commitment to build the cottage, the Boys Farm named it in honor of his family. The Nieri Family Cottage is a state-of-the-art building that provides housing for the boys, house parents and their families.  It provides 6,712 square feet under roof with 9 bedrooms, offering much-needed additional space for boys living at the farm. This is the third Boys Farm cottage built by Great Southern Homes. Each building is a large, spacious home with modern kitchens, media rooms, and the latest in energy-savings technologies to reduce power costs.  </p>
<p>Boys Farm will cut the ribbon during its Newberry Fall Festival and BBQ Fundraiser where it celebrates its long mission of service. The Boys Farm residency program provides structured and caring new beginnings for youth in a pastoral and Christian setting with a mission of “Building Boys Rather Than Mending Men.” Festivities for the Fall Festival on October 13 begin at 11 am and run till 4 o'clock. There will be all kinds of great kids friendly activities and a plate of delicious BBQ will sell for $8.</p>
<p>""This is a great community-service type project that we can provide.  It's what we do best… building great homes,"" said Michael Nieri, owner of Great Southern Homes. ""We build houses for people and this was a great cause to take on."" BIA President Mike Satterfield also shared, “Our organization represents many caring businesses in Central South Carolina that will help build a better community by offering donations of materials, money and labor toward the construction of this special home for boys and their house parents allowing them to live in a structured family environment.”</p>
<p>Boys Farm is a nonprofit organization that provides unique foster care services for boys experiencing difficult family situations and is located at 6655 SC Highway 34/121 in Newberry, SC. Donations in support of the Nieri Family Cottage continue to be accepted by the BIA, a SC nonprofit 501 (c) (3) organization affiliated with the Building Industry Association, 625 Taylor Street, Columbia, SC, or to Boys Farm, Inc, a SC nonprofit 501 (c) (3) organization, PO Box 713, Newberry, SC, 29108.</p>
<p><img alt="""" src=""/sites/default/files/news/Nieri-Family-Cottage-Boys-Farm-Newberry.jpg"" style=""width: 100%; height: auto;"" /></p>
","Breaking News"
"3038","3041","Great Southern Homes Constructs Oakcreste Student Housing in Clemson, SC","1547","1","1536344128","1536347622","1","0","15730","<p>Great Southern homes is proud to announce the recent completion of 37 new student housing cottages at Oakcreste on Oak Street in downtown Clemson, SC. The spacious student housing cottages offer three-bedroom and three-baths, modern kitchens, great rooms, walk-in closets and rear patios. The 41,000 square foot complex is located less than 5 minutes from Death Valley (Memorial Stadium), only a block away from the renowned Esso club and a short walk to the Clemson campus.</p>
<p>Most of the student housing cottages are rented, but several are available as VRBO (Vacation Rentals By Owner) for Clemson Gameday House Rental. The units are fully furnished and walking distance to Death Valley and downtown. The properties are only available on Clemson Homegame Weekends. Prices start @ $1999. For more information, <a href=""http://www.airbnb.com/rooms/28179478?s=3"">click here.</a> </p>
<p><img alt="""" src=""/sites/default/files/news/oakcrest%20men.jpg"" style=""margin-top: 10px; margin-bottom: 10px; width: 100%; height: auto;"" /></p>
<p><em> Pete Kellos, Great Southern Homes Upstate division manager, presents awards for outstanding service on Oakcreste to Jeremy Pyle, construction manager; Jeff Powell, construction area manager and Chris Emde, development manager.</em></p>
<hr />
","Breaking News"
