nid,vid,title,author_uid,spec_type,display_name,marketing_tagline,featured_image,elevation,floorplan,community,mls_number,price,marketing_flag,date_sold,Incentive,Incentive (short),hers_index_score,address,city,state,zip_code,latitude,longitude,body,content_image,square_feet,bedrooms,full_baths,half_baths,floors,garage(s),master,downloadable_brochure,property_video,marketing_images,school(s),highlight _news,highlight_news_background_color,featured_image_alt_text,featured_image_title_text,content_image_alt_text,content_image_title_text,status,post_date,updated_date,promoted_to_front_page,sticky,source,path
3826,3835,208 Ponte Vedra Drive,1087,Move-In Ready Homes,208 Ponte Vedra Drive,,25665,Preston II,Preston II,Champions Village,1915642,330921,Quick Move-in,,,,,,Murrells Inlet,SC,29576,33.58,-79.07,"<p>Welcome to Champions Village and this beautiful Low Country inspired home. Champions Village is a natural gas community that sits directly on the 18th fairway of TPC Myrtle Beach. This 4 bedroom and 2 1/2 bath home features a first floor master bed and bath with a beautiful tiled shower, huge walk in closet, granite countertops throughout, LVP flooring in the living room and common areas, beautifully painted cabinets, stainless appliances (range, microwave, and dishwasher), and a big 2 car garage. The home is very energy efficient with R50 insulation in the ceilings, radiant barrier sheathing on the roof, a tankless hot water heater, and much more. Please do not miss your chance to see this well appointed home!</p>
",,,4,2,1,2,,"Main, 1st Floor",,,25666|25667|25668|25669|25670|25671|25672|25673|25674,,,,,,,,1,1564413306,1564413306,0,0,node/3826,/properties/208-ponte-vedra-drive
3825,3834,312 Scottsdale Court,1087,Move-In Ready Homes,312 Scottsdale Court ,"""High-Tech, Smart Home"" ",25653,Riverbirch Z,Riverbirch,Champions Village,1915614,314749,Now Available,,,,,,Murrells Inlet,SC,29576,33.58,-79.07,"<p>Welcome to Champions Village and this beautiful Low Country inspired home. Champions Village is a natural gas community that sits directly on the 18th fairway of TPC Myrtle Beach. This 3 bedroom 2&1/2 bath home features a first floor master bed and bath with a beautiful tiled shower, 2 walk in closets, granite countertops throughout, LVP flooring in the living room and common areas, beautifully painted cabinets, stainless appliances (range, microwave, and dishwasher), and a 1 &1/2 car garage. The home is very energy efficient with R50 insulation in the ceilings, radiant barrier sheathing on the roof, a tankless hot water heater, and much more. Please do not miss your chance to see this well appointed home!</p>
",,,3,2,1,2,,"Main, 1st Floor",,,25657|25658|25659|25660|25661|25662|25663|25664,,,,,,,,1,1564412755,1564412755,0,0,node/3825,/properties/312-scottsdale-court
3824,3833,135 Drummond Way,190,Available Floorplans,,one story floor plan,16097,Annaberry B,Annaberry,Brookstone,476206,193746,Normal,,,,,135 Drummond Way,Lexington,SC,29072,33.96,-81.25,,,,,,,,,,,,,"Lexington Elementary,Lexington Middle School,Lexington High School",,,,,,,1,1564346154,1564346154,0,0,node/3824,/properties/135-drummond-way-0
3823,3832,126 Drummond Way,190,Available Floorplans,,,16097,Porter II F,Porter II,Brookstone,,235773,Normal,,,,,126 Drummond Way,lexington,sc,29072,33.96,-81.25,,,,,,,,,,,,,"Lexington Elementary,Lexington Middle School,Lexington High School",,,,,,,1,1564345946,1564345946,0,0,node/3823,/properties/126-drummond-way-0
3821,3830,178 Cedar Chase Lane,1841,Move-In Ready Homes,"Beautiful Camellia - 4 Bedroom, 3 Bathroom w/ Master Down ",,25551,Camellia C4 w/Bonus,Camellia II,Cedar Mill,,293046,Sold,2019-07-01 00:00:00,,,,178 Cedar Chase Lane,Irmo,SC,29063,34.13,-81.24,,,2157,4,3,,2,2,"Main, 1st Floor",https://www.greatsouthernhomes.com/sites/default/files/property_brochures/Camellia_0.pdf,,,"Ballentine Elementary School,Dutch Fork Middle School,Dutch Fork High School",,,,,,,1,1564172716,1564172716,0,0,node/3821,/properties/178-cedar-chase-lane
3820,3829,186 Cedar Chase Lane,1841,Move-In Ready Homes,Camellia Floorplan w/ Upstairs Suite,,25549,Camellia C4 w/Bonus,Camellia II,Cedar Mill,,297169,Sold,2019-07-01 00:00:00,,,,186 Cedar Hollow Lane,Irmo,SC,29063,34.13,-81.24,,,2157,4,3,,,,Down,https://www.greatsouthernhomes.com/sites/default/files/property_brochures/Camellia.pdf,,,"Ballentine Elementary School,Dutch Fork Middle School,Dutch Fork High School",,,,,,,1,1564172533,1564172533,0,0,node/3820,/properties/186-cedar-chase-lane
3819,3828,1151 Sapphire Drive {Lot7},284,Available Floorplans,BentCreek,Green Home,25522,Bentcreek C,Bentcreek,Summit at Sage Creek,,219215,Normal,,"<p>$5000 Buyer Incentive!</p>
",,,1151 Sapphire Drive,Graniteville,SC,29829,33.59,-81.82,,,2225,4,3,,,2,Up,,,25523|25524|25525|25526|25527|25528|25529|25530|25531|25532|25533|25534|25535|25536|25537|25538|25539|25540|25541|25542|25543|25544|25545|25546|25547|25548,"Byrd Elementary School,Leavelle McCampbell Middle School,Midland Valley High School",,,,,,,1,1564161999,1564165954,0,0,node/3819,/properties/1151-sapphire-drive-lot7
3818,3827,223 Cedar Hollow Lane - Lot 52,1841,Move-In Ready Homes,All Brick Magnolia B Floorplan,,25489,Magnolia B,Magnolia,Cedar Mill,,344281,Now Available,,,,,223 Cedar Hollow Lane,Irmo,SC,29063,34.13,-81.24,,,2510,4,3,,1,2,Down,https://www.greatsouthernhomes.com/sites/default/files/property_brochures/Magnolia.pdf,,25491|25492|25493|25494|25495|25496|25497|25498|25499|25500|25501|25502|25503|25504|25506|25507|25508|25509|25510|25511|25512|25513|25514|25515,"Ballentine Elementary School,Dutch Fork Middle School,Dutch Fork High School",,,,,,,1,1564087773,1564173426,0,0,node/3818,/properties/223-cedar-hollow-lane-lot-52
3816,3825,1157 Sapphire Drive {Lot6},284,Available Floorplans,The Bradley II,Green Home,25464,Bradley II A,Bradley II,Summit at Sage Creek,,249649,Normal,,"<p>$5000 Buyer Incentive</p>
",,,1157 Sapphire Drive,Graniteville,SC,29829,34.13,-81.24,,,3040,5,3,1,,2,,,,25465|25466|25467|25468|25469|25470|25471|25472|25473|25474|25475|25476|25477|25478|25479|25480|25481|25482|25487|25488|25516|25517|25518|25519|25520|25521,"Byrd Elementary School,Leavelle McCampbell Middle School,Midland Valley High School",,,,,,,1,1564085653,1564166027,0,0,node/3816,/properties/1157-sapphire-drive-lot6
3815,3824,1163 Sapphire Drive {Lot5},284,Available Floorplans,The Devonshire II ,Green Home,16097,Devonshire A,Devonshire,Summit at Sage Creek,,234952,Normal,,"<p>$5000 Buyer Incentive</p>
",,,1163 Sapphire,Graniteville,SC,29829,34.13,-81.24,,,2595,4,2,1,,2,,,,25434|25435|25436|25437|25438|25439|25440|25441|25442|25443|25444|25445|25446|25447|25448|25449|25450|25451|25452|25453|25454|25455|25456|25457|25458|25459|25460|25461|25462|25463,"Byrd Elementary School,Leavelle McCampbell Middle School,Midland Valley High School",,,,,,,1,1564083481,1564166080,0,0,node/3815,/properties/1163-sapphire-drive-lot5
