"tid","title","school_type","school_district","quadrant","term_description","weight","parent"
"1172","Abner Creek Academy","Elementary School","District 5 Schools of Spartanburg County","Spartanburg","","1","12"
"718","Airport High School","High School","Lexington 2","Lexington / West Columbia","","146","14"
"59","Alice Drive Elementary School","Elementary School","Sumter County","Sumter","","2","12"
"104","Alice Drive Middle School","Middle School","Sumter County","Sumter","","87","13"
"936","Baker Place Elementary","Elementary School","Columbia County School District","Augusta","","3","12"
"930","Ballentine Elementary School","Elementary School","District 5 of Richland and Lexington Counties","Irmo / Ballentine / Chapin","","4","12"
"105","Bates Middle School","Middle School","Sumter County","Sumter","","88","13"
"1404","Batesburg-Leesville Elementary","Elementary School","Lexington 3","Lexington / West Columbia","","6","12"
"1406","Batesburg-Leesville High","High School","Lexington 3","Lexington / West Columbia","","148","14"
"1405","Batesburg-Leesville Middle","Middle School","Lexington 3","Lexington / West Columbia","","89","13"
"1173","Berry Shoals Intermediate School","Elementary School","District 5 Schools of Spartanburg County","Spartanburg","","5","12"
"60","Bethel-Hanberry Elementary School","Elementary School","Richland 2","NE Columbia / Blythewood","","7","12"
"1181","Black Water Middle School","Middle School","Horry County Schools","Myrtle Beach","","90","13"
"58","Blaney Elementary School","Elementary School","Kershaw County","NE Columbia / Blythewood","","8","12"
"1226","Blue Ridge Elementary","Elementary School","Oconee County","Clemson","","9","12"
"87","Blythewood High School","High School","Richland 2","NE Columbia / Blythewood","","147","14"
"1574","Blythewood Middle School","Middle School","Richland 2","NE Columbia / Blythewood","","91","13"
"1065","Boiling Springs Elementary School","Elementary School","Spartanburg District 2","Spartanburg","","11","12"
"1064","Boiling Springs High School","High School","Spartanburg District 2","Spartanburg","","149","14"
"1067","Boiling Springs Middle School","Middle School","Spartanburg District 2","Spartanburg","","92","13"
"61","Bridge Creek Elementary School","Elementary School","Richland 2","NE Columbia / Blythewood","","10","12"
"1663","Brookland Cayce #1 Elementary School","Elementary School","Lexington 2","Lexington / West Columbia","","12","12"
"1315","Brookland-Cayce High School","High School","Richland 2","Lexington / West Columbia","","150","14"
"920","Bryson Middle School","Middle School","Greenville County Schools","Greenville","","93","13"
"62","Burton Pack Elementary School","Elementary School","Richland 1","Columbia Downtown / Southeast","","13","12"
"721","Byrd Elementary School","Elementary School","Aiken County","Aiken","","14","12"
"63","Camden Elementary School","Elementary School","Kershaw County","NE Columbia / Blythewood","","15","12"
"88","Camden High School","High School","Kershaw County","NE Columbia / Blythewood","","151","14"
"106","Camden Middle School","Middle School","Kershaw County","NE Columbia / Blythewood","","94","13"
"1335","Cane Bay High School","High School","Berkeley County","N. Charleston / Goose Creek","","152","14"
"1180","Carolina Forest Elementary","Elementary School","Horry County Schools","Myrtle Beach","","16","12"
"1182","Carolina Forest High School","High School","Horry County Schools","Myrtle Beach","","153","14"
"64","Carolina Springs Elementary School","Elementary School","Lexington 1","Lexington / West Columbia","","17","12"
"107","Carolina Springs Middle School","Middle School","Lexington 1","Lexington / West Columbia","","95","13"
"950","Carver/Moore Elementary","Elementary School","Florence 01","Florence","","18","12"
"729","Carver/Moore Elementary School","Elementary School","Florence 01","Florence","","19","12"
"65","Catawba Trail Elementary School","Elementary School","Richland 2","NE Columbia / Blythewood","","20","12"
"66","Caughman Road Elementary School","Elementary School","Richland 1","Columbia Downtown / Southeast","","21","12"
"1137","Central Elementary School","Elementary School","Pickens County","Clemson","","22","12"
"35","Chapin Elementary School","Elementary School","District 5 of Richland and Lexington Counties","Irmo / Ballentine / Chapin","","23","12"
"89","Chapin High School","High School","District 5 of Richland and Lexington Counties","Irmo / Ballentine / Chapin","","154","14"
"108","Chapin Middle School","Middle School","District 5 of Richland and Lexington Counties","Irmo / Ballentine / Chapin","","96","13"
"67","Cherryvale Elementary School","Elementary School","Sumter County","Sumter","","24","12"
"1219","Clemson Elementary","Elementary School","Pickens County","Clemson","","25","12"
"1311","Columbia High School","High School","Richland 1","St. Andrews","","155","14"
"937","Columbia Middle School","Middle School","Columbia County School District","Augusta","","97","13"
"68","Conder Elementary School","Elementary School","Richland 2","Columbia Downtown / Southeast","","26","12"
"719","Congaree Elementary School","Elementary School","Lexington 2","Lexington / West Columbia","","27","12"
"90","Crestwood High School","High School","Sumter County","Sumter","","156","14"
"1139","Daniel High School","High School","Pickens County","Clemson","","157","14"
"912","Deerfield Elementary School","Elementary School","Lexington 1","Lexington / West Columbia","","29","12"
"109","Dent Middle School","Middle School","Richland 2","Columbia Downtown / Southeast","","98","13"
"69","Dobys Mill Elementary School","Elementary School","Kershaw County","NE Columbia / Blythewood","","30","12"
"923","Dr Phinnize J Fisher Middle School","Middle School","Greenville County Schools","Greenville","","99","13"
"710","Dutch Fork High School","High School","District 5 of Richland and Lexington Counties","Irmo / Ballentine / Chapin","","158","14"
"709","Dutch Fork Middle School","Middle School","District 5 of Richland and Lexington Counties","Irmo / Ballentine / Chapin","","100","13"
"110","E.L. Wright Middle School","Middle School","Richland 2","NE Columbia / Blythewood","","103","13"
"1144","Easley High School","High School","Pickens County","Easley","","159","14"
"1085","East Aiken Elementary","Elementary School","Aiken County","Aiken","","31","12"
"1142","East End Elementary","Elementary School","Pickens County","Easley","","32","12"
"111","Ebenezer Middle School","Middle School","Sumter County","Sumter","","101","13"
"1220","Edwards Middle","Middle School","Pickens County","Clemson","","102","13"
"12","Elementary Schools","","","","","0","0"
